accuracy,loss,val_accuracy,val_loss,learning_rate
0.5504000186920166,0.6787614226341248,0.515999972820282,0.6871961951255798,0.0010000000474974513
0.6227999925613403,0.6482881307601929,0.6881999969482422,0.5894448161125183,0.0010000000474974513
0.6642500162124634,0.610595703125,0.6988000273704529,0.5643986463546753,0.0010000000474974513
0.6876500248908997,0.5870517492294312,0.7423999905586243,0.5193042755126953,0.0010000000474974513
0.706250011920929,0.5677634477615356,0.7522000074386597,0.5114634037017822,0.0010000000474974513
0.7195500135421753,0.5493109822273254,0.7282000184059143,0.5538235306739807,0.0010000000474974513
0.7329000234603882,0.5339456796646118,0.7851999998092651,0.462420791387558,0.0010000000474974513
0.7459999918937683,0.5167913436889648,0.7892000079154968,0.45104077458381653,0.0010000000474974513
0.7504000067710876,0.5046380162239075,0.8015999794006348,0.4338248074054718,0.0010000000474974513
0.7651000022888184,0.493274986743927,0.8091999888420105,0.4192439317703247,0.0010000000474974513
0.768750011920929,0.4772956073284149,0.8046000003814697,0.4277852475643158,0.0010000000474974513
0.7777000069618225,0.471818745136261,0.8216000199317932,0.3926571309566498,0.0010000000474974513
0.7828999757766724,0.45750027894973755,0.8321999907493591,0.3803936839103699,0.0010000000474974513
0.7879499793052673,0.4491923749446869,0.8447999954223633,0.3492189347743988,0.0010000000474974513
0.79544997215271,0.4381729066371918,0.8226000070571899,0.38577306270599365,0.0010000000474974513
0.7959499955177307,0.4401324689388275,0.8510000109672546,0.33357852697372437,0.0010000000474974513
0.8066499829292297,0.424763560295105,0.8417999744415283,0.3512061834335327,0.0010000000474974513
0.8073499798774719,0.41876229643821716,0.8258000016212463,0.37525761127471924,0.0010000000474974513
0.8101999759674072,0.4112718403339386,0.8679999709129333,0.3120322525501251,0.0010000000474974513
0.8133000135421753,0.40955978631973267,0.8555999994277954,0.3311668336391449,0.0010000000474974513
